ObjectName,Summary,Supported Calls,Special Access Rules,Usage,Associated Objects,Additional Considerations and Related Objects
Knowledge__DataCategorySelection,Represents a data category that classifies an article. This object is available in API version 39.0 and later. ,"     create(), delete(), describeSObjects(), getDeleted(), getUpdated(), query(),retrieve()   ",Lightning Knowledge must be enabled in your org.,Every article in Salesforce Knowledge can be categorized. A data category selection     represents a category that has been selected to classify an article. You can use this object     to query and manage article categorization in your organization. Client applications can     create a categorization for an article with a Draft status. They can also delete and query article categorizations. ,,
KnowledgeableUser,"Represents a user identified as knowledgeable about a specific topic,and ranks them relative to other knowledgeable users. This object is available in API   version 31.0 and later.","describeSObjects(), query(), retrieve()",,,,
KnowledgeArticle,Provides read-only access to an article and the ability to delete themaster article. This object is available in API version 19.0 and later.," describeSObjects(), query(), retrieve()",,"Use this object to query or retrieve articles. KnowledgeArticle can be used in a SOQL clause, but doesn’t provide access to the fields from the article. Provides read-only access to an article and the ability to delete the master article. ",,
KnowledgeArticleVersion,Provides a global view of standard article fields across all types of articles depending on their version. This object is available in API version 18.0 and later.,"describeLayout(), describeSObjects(), query(), retrieve(), search() ","Knowledge must be enabled in your org.A user must have the View Articles permission enabled. Salesforce Knowledge users, unlike customer and partner users, must also be granted the Knowledge User feature license.","Use this object to query, retrieve, or search for articles across all types of articles depending on their version. You can update draft master articles. Also, you can delete articles that are not drafts. Client applications can use KnowledgeArticleVersion with ","This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
KnowledgeArticleVersionHistory,Enables read-only access to     the full history of an article. ,"describeSObjects(),  getDeleted(),  getUpdated(),  query(), retrieve()","Knowledge must be enabled in your org. This object respects field, entity, and record-level security. You must have at least     “Read” permission on the article type or the field to access its history. For     data category security, Salesforce determines access based on the categorization of the     online version of an article. If there is no online version, then security is applied based     on the archived version, followed by the security of the draft version. ","Use this object to query events in the history of an article. For example, you can retrieve     the number of edits a particular user has made to an article, how many times the article has     been published, and so on.",,
KnowledgeArticleViewStat,Provides statistics on the number of views for the specified article   across all article types. This object is read-only and available in API version 20.0 and later.,"describeSObjects(), query(),retrieve()","Knowledge must be enabled in your org. Users must have access to the published version of an article to retrieve its views. For more information on published article version, see the PublishStatus field in KnowledgeArticleVersion.",Use this object to query or retrieve statistics for article views.,,
KnowledgeArticleVoteStat,Provides the weighted rating for the specified article on a scale of 1 to 5   across all article types. This object is read-only and available in API version 20.0 and later.,"describeSObjects(), query(),retrieve()","Knowledge must be enabled in your org. Users must have access to the published version of an article to retrieve its votes. For more information on published article version, see the PublishStatus field in KnowledgeArticleVersion",Use this object to query or retrieve the rating for an article. ,,
LandingPage,Represents a Pardot landing page that has been synced to Salesforce. A landing page is a web page that a visitor reaches after clicking a link or advertisement. This object is available in API version 42.0 and later.,"describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search()","To access this object, your org must use Pardot and users need the CRM User or Sales User permission set.",,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
Lead,Represents a prospect or lead.,"create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), merge(), query(), retrieve(), search(), undelete(), update(), upsert()",,"To update a lead or to convert one with convertLead(), log in to your client application with the “Edit” permission on leads.","This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
LeadCleanInfo,Stores the metadata Data.com Clean uses to determine a lead   record’s clean status. Helps you automate the cleaning or related processing of lead   records.,"describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), update()",,Developers can create triggers that read the Lead Clean Info fields to help automate the     cleaning or related processing of lead records.,,
LeadOwnerSharingRule,Represents the rules for sharing a lead with users other than the   owner.,"create(),delete(),describeSObjects(), getDeleted(), getUpdated(), query(),retrieve(), update(),upsert()",,,,
LeadShare,Represents a sharing entry on a Lead.,"create(), delete(),describeSObjects(), query(), retrieve(), update(), upsert()","As of Summer ’20 and later, only users with access to the Lead object can access this     object.",This object allows you to determine which users and groups can view or edit leads owned by other users.,,
LeadStatus,"Represents the status of a Lead, such asOpen, Qualified, or Converted.","describeSObjects(), query(), retrieve()",,"This object represents a value in the lead status picklist (see Lead Status Picklist). The lead status picklist provides additional information about the status of a Lead, such as whether a given status value represents a converted Lead. Query this object to retrieve the set of values in the lead status picklist, and then use that information while processing Lead objects to determine more information about a given lead. For example, the application could test whether a given lead is converted based on its Status value and the value of the IsConverted property in the associated LeadStatus record.",,
LeadTag,Associates a word or short phrase with a Lead.,"create(), delete(), describeSObjects(), query(), retrieve()",,"LeadTag stores the relationship between its parent TagDefinition and the Lead being tagged. Tag objects act as metadata, allowing users to describe and organize their data.",,
LegalEntity,Represents the way an organization is structured. An organization can be a   single legal entity or it can comprise more than one legal entity. This object is available in API version 48.0 and later.  ,"     create(),delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(),undelete(), update(),upsert()   ",,,"This object has the following associated objects. Unless noted, they are available in the     same API version as this object.",
LightningExperienceTheme,Represents information for a theme in Lightning Experience. This   object is available in API Version 42.0 and later.,"create(), delete(), describeSObjects(), query(), retrieve(), update(), upsert()",,,,
LightningOnboardingConfig,"Represents the feedback provided when users switch from Lightning Experience to Salesforce Classic. Admins can customize the question, how frequently the form appears, and where the feedback is stored in Chatter from the Adoption Assistance page in Lightning Experience Setup.   Available in API version 47.0 and later.","create(), delete(), describeSObjects(), query(), retrieve(), update(), upsert()",,,,
LightningToggleMetrics,Represents users who switched from Lightning Experience back to Salesforce Classic. This object is available in API version 43.0 and later.,"describeSObjects(), query(), retrieve()",Not available in sandbox orgs.,,,
LightningUsageByAppTypeMetrics,Represents number of users on Lightning Experience and Salesforce Mobile. This object is available in API version 43.0 and later.,"describeSObjects(), query(), retrieve()",Not available in sandbox orgs.,,,
LightningUsageByBrowserMetrics,Represents Lightning Experience usage grouped by user’s browser. This object is available in API version 43.0 and later.,"describeSObjects(), query(), retrieve()",Not available in sandbox orgs.,,,
LightningUsageByPageMetrics,Represents standard pages users viewed most frequently in Lightning Experience. This object is available in API version 43.0 and later.,"describeSObjects(), query(), retrieve()",Not available in sandbox orgs.,,,
LightningUsageByFlexiPageMetrics,Represents custom pages users viewed most frequently in Lightning Experience. This object is available in API version 43.0 and later.,"describeSObjects(), query(), retrieve()",Not available in sandbox orgs.,,,
LightningExitByPageMetrics,.Represents standard pages users switched from Lightning Experience to Salesforce most frequently. This object is available in API version 44.0 and later.,"describeSObjects(), query(), retrieve()",Not available in sandbox orgs.,,,
LinkedArticle,"Represents a knowledge article that is attached to a work order, work order line item, or work type. This object is available in API version 37.0 and  later.","create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), undelete(), update(), upsert()",Knowledge must be enabled in your org. Field Service must be enabled. Only users that have access to the Knowledge article and the parent record linked to it can access this object.,"Admins can customize linked articles’ page layouts, fields, validation rules, and more from the Linked Articles page in Setup.","This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
LinkedArticleFeed,Represents the comment feed on a linked article. This object is available in API version 39.0 and later.,"     delete(), describeSObjects(), getDeleted(), getUpdated(), query(),retrieve()   ",Knowledge must be enabled in your org.,,,
LinkedArticleHistory,Represents the history of changes made to tracked fields on a linked article. This object is available in API version 37.0 and  later.,"describeSObjects(), getDeleted(), getUpdated(), query(), retrieve()",Knowledge must be enabled in your org.,,,
ListEmail,"Represents a list email sent from Salesforce, or sent from Pardot and synced to Salesforce. When the list email is sent, the recipients are generated by combining recipients in ListEmailIndividualRecipients and ListEmailRecipientSource. Duplicate and other invalid recipients are removed. The result is the recipients who are actually sent any given list email. Has a one-to-many relationship with ListEmailRecipientSource and ListEmailIndividualRecipient. This object is available in API version 41.0 and later.","create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), undelete(), update(), upsert()",,,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
ListEmailIndividualRecipient,"For a list email in Salesforce, represents a recipient. Each record      represents a link from a list email to exactly one recipient for that list email.      Recipients can be contacts, leads, or campaign members. Has a one-to-many relationship with      ListEmail.This object is available in API version 44.0  and later.","create(),    delete(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), undelete(), update(),    upsert()",,,,
ListEmailRecipientSource,"For a list email in Salesforce, represents the dynamically defined      sources of recipient email addresses. Each record represents a link to a single list view      or campaign that is examined when the list email is sent. Has a one-to-many relationship      with ListEmail. This object is available in API version 41.0 and later.",The visibility and accessibility of this object is inherited from the related list email.,,,,
ListView,"Represents a list view. A list view specifies a set of records for an object, based on specific criteria.   This object is available in API version 32.0 and later.","describeSObjects(), query(), retrieve(), search()",,,,
ListViewChartInstance,Retrieves metadata for all standard and custom charts for a given entity in context of a given list view. ,"describeSObjects(), query()",,,,
LiveAgentSession,This object is automatically created for each Chat session and storesinformation about the session. This object is available in API versions 28.0 and   later.,"create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), undelete(), update() ",,Use this object to query and manage chat session records.,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
LiveAgentSessionHistory,This object is automatically created for each Chat session and stores   information about changes made to the session. This object is available in API versions 28.0 and later.,"describeSObjects(), getDeleted(), getUpdated(), query(), retrieve()",,Use this object to identify changes to chat session records.,,
LiveAgentSessionShare,This object is automatically created for each Chat session and storesinformation about the session. This object is available in API versions 28.0 and   later.,"create(), delete(), describeSObjects(), query(), retrieve(), update(), upsert()",,This object lets you determine which users and groups can view and edit LiveAgentSession records owned by other users.,,
LiveChatBlockingRule,Represents a rule for blocking chat visitors’ IP addresses fromstarting new chats with agents. This object is available in API version 34.0 and   later.,"create(), delete(),  query(), update(),  retrieve()",,Use this object to query and manage rules for blocking customers from starting new chats with agents.,,
LiveChatButton,Represents a button that allows visitors to request chats with Chat      users. This object is available in API version 24.0 and later.,"create(), query(), update(), retrieve()",,Use this object to query and manage chat buttons and automated chat invitations.,,
LiveChatButtonDeployment,Associates an automated chat invitation with a specific deployment. This object is available in API versions 28.0 and later.,"create(), delete()query(), update(), retrieve()",,Use this object to associate automated chat invitations with specific deployments.,,
LiveChatButtonSkill,"Represents all the skills available to a LiveChatButton  except the onecurrently assigned. To retrieve the skill currently assigned, query LiveChatButton. This   object is available in API version 25.0 and later.","create(), delete(),  update(), query()",,Use this object to assign a specific skill to a specific button for multi-skill routing. For example:,,
LiveChatDeployment,Represents the general settings for deploying Live Agent on awebsite. This object is available in API version 24.0 and later.,"create(), query(),  update(), retrieve()",,Use this object to query and manage live chat deployments.,,
LiveChatSensitiveDataRule,Represents a rule for masking or deleting data of a specified pattern.Written as a regular expression (regex). This object is available in API version 35.0 and   later.,"create(), delete(), describeSObjects(), query(), update(), retrieve()","As of Summer ’20 and later, only authenticated internal and external users can access this object.","Use this object to mask or delete data of specified patterns, such as credit card, social security, phone and account numbers, or even profanity.",,
LiveChatTranscript,This object is automatically created for each Live Agent chat sessionand stores information about the session. This object is available in API version 24.0 and   later.,"create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), undelete(), update(), upsert()",,Use this object to query and manage live chat transcripts.,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
LiveChatTranscriptEvent,Captures specific events that occur over the lifetime of a chat.   This object is available in API version 24.0 and later.,"create(), delete(), getDeleted(), getUpdated(), query(), retrieve(), undelete(), update(), upsert()",,Use this object to query and manage live chat transcript events.,,
LiveChatTranscriptShare,Represents a sharing entry on a LiveChatTranscript object. This   object is available in API version 24.0 and later.,"create(), delete(), query(), retrieve()update(), upsert()",,This object lets you determine which users and groups can view and edit LiveChatTranscript records owned by other users.,,
LiveChatTranscriptSkill,Represents a join between LiveChatTranscript and Skill. This   object is available in API version 25.0 and later.,"create(), delete(), getDeleted(),  getUpdated(), query(), retrieve(), undelete(), update()",,Use this object to assign a specific skill to a specific transcript for multi-skill routing.,,
LiveChatUserConfig,Represents a setting that controls the console settings for Chatusers. This object is available in API version 24.0 and later.,"create(), delete(),  update(), query(),  retrieve()","As of Summer ’20 and later, only authenticated internal and external users can access this object.",Use this object to query and manage agent configurations in Chat.,,
LiveChatUserConfigProfile,Represents a join between LiveChatUserConfig and Profile. This     object is available in API version 24.0 and later.,"create(), delete(), query(), retrieve()","As of Summer ’20 and later, only authenticated internal and external users can access this     object.",Use this object to assign specific agent configurations to specific user profiles.,,
LiveChatUserConfigUser,Represents a join between Live Chat User Config and User. This object is available in API version 24.0 and later.,"create(), delete(), query(), retrieve()","As of Summer ’20 and later, only authenticated internal and external users can access this     object.",Use this object to assign specific agent configurations to specific users.,,
LiveChatVisitor,Represents a website visitor who has started or tried to start a chatsession. This object is available in API version 24.0 and later.,"create(), delete(), getDeleted(), getUpdated(), query(), retrieve(),  undelete(), update(), upsert()",,Use this object to query and manage live chat visitors.,,
Location,"Represents a warehouse, service vehicle, work site, or other element of the region where your team performs field service work. In API version 49.0 and later, you can associate activities with specific locations. Activities, such as the tasks and events related to a location, appear in the activities timeline when you view the location detail page. Also in API version 49.0 and later, Work.com users can view Employees as a related list on Location records.","create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), undelete(), update(), upsert()",Field Service must be enabled.,"To track your inventory in Salesforce, create product items, which represent the stock of a particular product a particular location. For example, create a product item that represents the 500 bolts you have in stock at your Warehouse A location. Each product item must be associated with a location.","This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
LocWaitlistMsgTemplate,Represents a junction object connecting LocationWaitlist to   MessagingTemplate. This object is available in API version 50.0 and later.  ,"create(),  delete(),  describeLayout(),  describeSObjects(),  getDeleted(), getUpdated(),  query(),  retrieve(),  undelete(),  update(),  upsert()",,,,
LocationWaitlist,"Represents a queue created for a specific location. Multiple queues can be   created for a single location. For example, you can have a queue for each sales agent or a   standard queue and a queue for vulnerable groups. The specific party of people in a queue is   represented by LocationWaitlistedParty. This object is available in API version 50.0 and later.  ","create(),  delete(),  describeLayout(),  describeSObjects(),  getDeleted(), getUpdated(),  query(),  retrieve(),  undelete(),  update(),  upsert()",,,,
LocationWaitlistedParty,Represents a specific party of people waiting in a queue. This object is available in API version 50.0 and later.  ,"create(),  delete(),  describeLayout(),  describeSObjects(),  getDeleted(), getUpdated(),  query(),  retrieve(),  undelete(),  update(),  upsert()",,,,
LoginEvent,The documentation has moved to ,,,,,
LoginGeo,"Represents the geographic location of the user’s IP address for a      login event. Due to the nature of geolocation technology, the accuracy of geolocation      fields (for example, country, city, postal code) may vary. This object is available in   API version 34.0 and later.","describeSObjects(), query(), retrieve()",Only users with Manage Users permissions can access this object.,The API allows you to do many powerful queries. A few examples are:,,
LoginHistory,Represents the login history for all successful and failed login   attempts for organizations and enabled portals. This object is available in API version 21.0 and later.,"describeSObjects(), query(),retrieve()","With one exception, only users with Manage Users permissions can access this object. The     exception is that, in API version 37.0 and later, all users can retrieve their own login     history records.",Not all fields are filterable. You can only filter on the following fields:,,
LoginIp,Represents a validated IP address. This object is available in   version 28.0 and later.,"describeSObjects(), delete(), query(), retrieve()",,"At every login, the IP address of the login request is checked against the validated IP addresses using LoginIp. A match means the login IP address is a known IP address. If there’s no match, the address is unknown, and the user is asked to confirm their identity.",,
LogoutEventStream ,The documentation has moved to ,,,,,
LookedUpFromActivity,This read-only object is displayed as a related list on an activity record (an event or a task); the list contains records that have custom lookup relationships from the activity to another object. This object is not queryable.,describeSObjects(),,,,
Macro,"Represents a macro, which is a set of instructions that tells the system to perform one or more tasks. This object is available in API version 32.0 and later.","create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), update(), upsert()",,A macro definition consists of a Macro object and several associated ,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
MacroInstruction,"Represents an instruction in a macro. An instruction can specify the object that the macro interacts with, the context or publisher that the macro works within, the operation or action that the macro performs, and the target of the macro’s actions.","create(), delete(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), undelete(), update(), upsert()",,"MacroInstructions can specify objects, operations, conditions, and targets. For example, a macro containing these instructions performs a quick action that sends an email.",,
MacroUsage,"Represents macro usage on a record, including which macro was used,      who used it, and how they used it. This object is available in API version 47.0     and later.","describeSObjects(), getDeleted(), getUpdated(), query(), retrieve() ",This object is always read-only.,,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
MailmergeTemplate,Represents a mail merge template (a Microsoft Word document) used forperforming mail merges for your organization.,"create(), delete(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), undelete(), update(), upsert()",,Use this object to manage mail merge templates for your organization.,,
MaintenanceAsset,Represents an asset covered by a maintenance plan in field service. Assets can be associated with multiple maintenance plans.,"create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), undelete(), update(), upsert()",Field Service must be enabled.,,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
MaintenancePlan,Represents a preventive maintenance schedule for one or more assets in field service.,"create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), undelete(), update(), upsert()",Field Service must be enabled.,,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
MaintenanceWorkRule,Represents the recurrence pattern for a maintenance record.  This object is available in API version 49.0 and later. ,"create(),  delete(),  describeLayout(),  describeSObjects(),  getDeleted(), getUpdated(),  query(),  retrieve(),  search(),  undelete(),  update(),  upsert()",,,,
ManagedContentInfo,Allows the creation of relationship to Product using ProductMedia. This object is available in API version 49.0 and later.,describeSObjects(),You must have the B2B Commerce license and a CMS workspace to access a web store.,"The CMS content import process returns a ManageContentInfo ID for each piece of content. The ManagedContentInfo entity has a 1:1 relationship with ProductMedia. To create this relationship, ProductMedia must be associated with a Product entity, for example, Product > ProductMedia > ManagedContentInfo. Use the ID to associate content uploaded through the API with the ProductMedia entity",,
MarketingForm,Represents a Pardot marketing form that has been synched to Salesforce. Use forms on your website and landing pages to collect information about visitors and turn anonymous visitors into identified prospects. This object is available in API version 42.0 and later.,"describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search()","To access this object, your org must use Pardot and users need the CRM User or Sales User permission set.",,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
MarketingLink,"Represents a Pardot marketing link record, either a custom redirect or a file, that has been synced to Salesforce. This object is available in API version 42.0 and later.","describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search()","To access this object, your org must use Pardot and users need the CRM User or Sales User permission set.",,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
MatchingRule,Represents a matching rule that is used to identify duplicaterecords. This object is available in API version 33.0 and later.,"describeSObjects(), query(), retrieve()","As of Summer ’20 and later, only users with the View Setup and Configuration permission can access this object.","Use the Salesforce API to retrieve and view details about MatchingRule and MatchingRuleItem. Use the Salesforce Metadata API to create, update, or delete these objects.",,
MatchingRuleItem,Represents criteria used by a matching rule to identify duplicate records. This object is available in API version 33.0 and later.,"describeSObjects(), query(), retrieve()","As of Summer ’20 and later, only users with the View Setup and Configuration permission can access this object.","Use the Salesforce SOAP API to retrieve and view details about MatchingRule and MatchingRuleItem. Use the Salesforce Metadata API to create, update, or delete these objects.",,
MessagingChannel,"Represents a communication channel that an end user can use to send a message to an agent. A communication channel can be an SMS number, a Facebook page, or another supported messaging channel. This object is available in API version 45.0 and later.","create(), describeLayout(), describeSObjects(), query(), retrieve(), search(), update(), upsert()",,,,
MessagingChannelSkill,Junction object that represents an association between MessagingChannel and Skill. This object is available in API version 45.0 and later.,"create(), delete(), describeSObjects(), query(), retrieve(), update(), upsert()",,,,
MessagingConfiguration,Represents the details for a Messaging configuration. This   object is available in API version 47.0 and later.," describeSObjects(), query(), retrieve() ",,,,
MessagingDeliveryError,Represents a log of triggered outbound failures to verify when a      triggered outbound has failed. This object is available in API version 44.0 and   later.,"create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), undelete(), update(), upsert()",,,,
MessagingEndUser,Represents a single address—such as a phone number or Facebook   page—communicating with a single Messaging channel. This object is available in API version 45.0 and later," create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), undelete(), update(), upsert() ",,,"This object has the following associated objects. Unless noted, they are available in the     same API version as this object.",
MessagingLink,Represents the link between a Messaging Channel and where it's shared. This object is available in API version 47.0 and later.  ," create(), delete(), describeLayout(), describeSObjects(), query(), retrieve(), update(), upsert() ",,,,
MessagingSession,Represents a session on a Messaging channel. This object is available in API version 47.0 and later. ," create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), undelete(), update(), upsert() ",,,"This object has the following associated objects. Unless noted, they are available in the     same API version as this object.",
MessagingTemplate,Represents a Messaging template used to send pre-formatted messages. This object is available in API version 47.0 and later.," create(), delete(), describeLayout(), describeSObjects(), query(), retrieve(), update(), upsert() ",,,,
MetadataPackage,"Represents a  package that has been developed in the org you’re logged in to. Applies to unlocked, unmanaged, first-generation, and second-generation managed packages.","describeSObjects(), query(), retrieve()",,,,
MetadataPackageVersion,Represents a package version (managed or unmanaged) that has been uploaded from the org you’re logged in to.,"describeSObjects(), query(), retrieve()",,Suppose you want to push version 3.4.6 of your package to all orgs. Let’s write some code to identify the orgs eligible for the upgrade. This example demonstrates how to generate the list of subscriber orgs eligible to be upgraded to version 3.4.6 of a package.,,
Metric,"The Metric object represents the components of a goal metric such as its name, metric type, and current value.","create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), undelete(), update(), upsert()",,,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
MetricDataLink,"The link between the metric and the data source, such as a report.","create(), delete(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), undelete(), update(), upsert()",,,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
MetricsDataFile  ,Represents a data file containing usage metrics on all installations of a managed package in a Salesforce instance.   This object is available in API version 30.0 and later.,"query(), delete()",,"Use this object to access customer usage metrics for a managed package. Each record contains one day’s data, on either custom objects or Visualforce pages, for all organizations in a Salesforce instance that have the package installed. The following data is collected each day. ",,
MilestoneType,Represents a milestone (required step in a     customer support process). This object is available in API version 18.0 and later.,"create(),delete(),describeSObjects(), query(),retrieve(), update(),upsert()","As of Summer ’20 and later, only Salesforce admins, users with access to the Case,     Entitlement, or Work Order objects, and users with the View Setup and Configuration     permission can access this object.",Use this object to query and manage the milestone type for CaseMilestone records.,,
MobileSettingsAssignment,Represents the assignment of a particular field service mobile settings configuration to a user profile. This object is available in API version 41.0 and later.,"create(), delete(), describeSObjects(), query(), retrieve(), update(), upsert()",Field Service must be enabled.,,,
MsgChannelLanguageKeyword,Represents the consent configuration for a Messaging channel.   This object is available in API version 48.0 and later.,"describeSObjects(), delete(), query(), retrieve(), search()",,,,
MyDomainDiscoverableLogin,"Represents configuration settings when the My Domain login page type is Discovery. Login Discovery provides an identity-first login experience, where the login page contains the identifier field only. Based on the identifier entered, a handler determines how to authenticate the user. This object is available in API version 45.0 and later.","create(), delete(), describeSObjects(), query(), retrieve(), update(), upsert()",,"Use this object to access the My Domain Login Discovery Page, which is a login page type that prompts users to identity themselves with an email address, phone number, or custom identifier. My Domain Login Discovery performs an interview-based login process, where users are first prompted to provide identity and then authenticated. For example, users receive a verification code that they enter to complete the login process.",,
MutingPermissionSet,Represents a set of disabled permissions and is used in conjunction with PermissionSetGroup . ,"create(), delete(), describeSObjects(), query(), retrieve(), update(), upsert()",,Use MutingPermissionSet to disable specified permissions within a permission set group.,,
Name,Non-queryable object that provides information about foreign key   traversals when the foreign key has more than one parent.,describeSObjects(),,"To query on relationships where the parent may be more than one type of object, use who, what, or owner relationship fields.",,
NamedCredential,"Represents a named credential, which  specifies the URL of a callout endpoint and its required authentication  parameters in one definition. A named credential can be specified as an endpoint  to simplify the setup of authenticated callouts. This object is available in API version 33.0  and later.","describeSObjects(), query(), retrieve()","As of Spring ’20 and later, only users with the View Setup and Configuration permission can access this object.",Use the NamedCredential object to query named credentials in your organization.,,
NamespaceRegistry,"Represents a namespace that you can link to scratch orgs that were created from your org’s Dev Hub. You use the namespace when developing, packaging, and releasing an app. You can’t create this object with the API. Use the ","delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), update()",,,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
NavigationLinkSet,Represents the navigation menu in a community. A navigation menu consists of items that users can click to go to other parts of the community. This object is available in API version 35.0 and later.,"create(), delete(), describeSObjects(), query(), retrieve(), update(), upsert()",Navigation menus are available only in communities created using the Customer Service template.,,,
NavigationMenuItem,"Represents a single menu item in a NavigationLinkSet. Use this object to create, delete, or update menu items in your community’s navigation menu. This object is available in API version 35.0 and later.","create(), delete(), describeSObjects(), query(), retrieve(), update(), upsert()","Navigation menus are available only in communities created using the Lightning community template. To use navigation menus in the Build Your Own template, you must build a custom navigation menu component.",You can add up to 20 navigation menu items. You can translate navigation menu items using the Translation Workbench.,,
NavigationMenuItemLocalization,Represents the translated value of a navigation menu item in a community. This object is available in API version 36.0 and later.,"create(), delete(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), update(), upsert()","Navigation menus are available only in communities created using the Lightning community template. To use navigation menus in the Build Your Own template, you must build a custom navigation menu component.",,,
Network,"Represents a community. Communities are branded spaces for your employees, customers, and partners to connect. You can customize and create communities to meet your business needs, then transition seamlessly between them. Communities let you share information, records, and files with coworkers and external stakeholders all in one place. ","describeSObjects(), query(), retrieve(), update()",This object is available only if Salesforce Communities are enabled in your org.,"Use this object to find, view, and update communities in your org. If you have Modify All Data, View All Data, or Create and Set Up Communities permission, you can view all communities in the org. Users without these permissions see only the Preview or Published communities that they’re members of. If you have Create and Set Up Communities permission, you can customize community settings.",,
NetworkActivityAudit,Represents an audit trail of moderation actions in Communities.,"create(), delete(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), undelete(), update(), upsert()",This object is available only if Salesforce Communities are enabled in your org.,Use this object to view an audit trail of moderation activity for your communities. You must have the “Modify All Data” permission to access this object. ,,
NetworkAffinity,"Represents a junction object that     associates a user profile with a Network object, that is, with a community. Use     NetworkAffinity to assign a default community to a user profile.   ","create(),delete(),describeSObjects(), query(),retrieve(), update(), upsert()","To work with the NetworkAffinity object, you must have View Setup or Customize Application     permission.","Use the NetworkAffinity object to assign a default community to a user profile. The default     community enables you to stamp network-agnostic email notifications to all users with that     profile with the selected community's branding. The default community also becomes the     target destination for email notification links. Network-agnostic email notifications     include notifications about records, like cases, accounts, and opportunities.",,
NetworkDiscoverableLogin,Represents the Login Discoverable login page that external users use to log in to a community. External users can be users with an external identity or any Communities license. .This object is available in API version 44.0 and later,"create(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), update(), upsert()",,"Use this object to access the Login Discovery Page, which is a login page type that prompts users to identity themselves with an email address, phone number, or custom identifier. DiscoverableLogin performs an interview-based login process, where users are first prompted to provide identity and then authenticated. For example, users receive a verification code that they enter to complete the login process.",,
NetworkMember,Represents a member of a community. Members can be either users in your company or external users with portal profiles. This object is available in API version 26.0 and later.,"describeSObjects(), query(), retrieve(), update()",This object is available only if Salesforce Communities are enabled in your org.,,,
NetworkMemberGroup,"Represents a group of members in a community. Members can be either users in your internal organization or external users assigned portal profiles. An administrator adds members to a community by adding a profile or a permission set, and any user with the profile or permission set becomes a member of the community.   This object is available in API version 26.0 and later.","create(), describeSObjects(), query(), retrieve(), update()",This object is available only if Salesforce Communities are enabled in your org.,"Use this object to view the profiles or permission sets associated with a particular community. Profiles and permission sets are added and removed asynchronously, so you can also check the status of a profile or permission set that was updated in a community.",,
